name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Anaba Bodyguard,{3}{R},4,R,Greg Staples,187,Creature — Minotaur,First strike (This creature deals combat damage before creatures without first strike.),"HML,6ED,10E","""They who challenge a minotaur enjoy the taste of their own blood.""\n—Mirri of the Weatherlight",normal,134753,2,3,Common,Minotaur,Creature
Arcane Teachings,{2}{R},3,R,Dan Dos Santos,188,Enchantment — Aura,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature gets +2/+2 and has ""{T}: This creature deals 1 damage to target creature or player.""","JUD,10E",Not all knowledge is learned from parchment.,normal,130530,,,Uncommon,Aura,Enchantment
Beacon of Destruction,{3}{R}{R},5,R,Greg Hildebrandt,189,Instant,Beacon of Destruction deals 5 damage to target creature or player. Shuffle Beacon of Destruction into its owner's library.,"5DN,10E","The Great Furnace's blessing is a spectacular sight, but the best view comes at a high cost.",normal,135262,,,Rare,,Instant
Blaze,{X}{R},1,R,Alex Horley-Orlandelli,190,Sorcery,Blaze deals X damage to target creature or player.,"POR,PO2,6ED,PTK,7ED,8ED,9ED,10E,HOP,DPA",,normal,129484,,,Uncommon,,Sorcery
Bloodfire Colossus,{6}{R}{R},8,R,Greg Staples,191,Creature — Giant,"{R}, Sacrifice Bloodfire Colossus: Bloodfire Colossus deals 6 damage to each creature and each player.","APC,9ED,10E,DDI",It took all its strength to contain the fire within.,normal,129709,6,6,Rare,Giant,Creature
Bloodrock Cyclops,{2}{R},3,R,Alex Horley-Orlandelli,192,Creature — Cyclops,Bloodrock Cyclops attacks each turn if able.,"WTH,BTD,10E","""There are only fifty words in the cyclops language, and ten of them mean ‘kill.'""\n—Ertai",normal,130384,3,3,Common,Cyclops,Creature
Bogardan Firefiend,{2}{R},3,R,Terese Nielsen,193,Creature — Elemental Spirit,"When Bogardan Firefiend dies, it deals 2 damage to target creature.","WTH,10E,HOP","""The next one who tells me to relax and curl up by a fire is dead.""\n—Mirri of the Weatherlight",normal,130534,2,1,Common,"Elemental,Spirit",Creature
Cone of Flame,{3}{R}{R},5,R,Chippy,194,Sorcery,"Cone of Flame deals 1 damage to target creature or player, 2 damage to another target creature or player, and 3 damage to a third target creature or player.","WTH,10E,DD2,HOP,DDG,M15,DD3_JVC,W16",,normal,130535,,,Uncommon,,Sorcery
Cryoclasm,{2}{R},3,R,Zoltan Boros & Gabor Szikszai,195,Sorcery,Destroy target Plains or Island. Cryoclasm deals 3 damage to that land's controller.,"CSP,10E",The people of Terisiare had come to live on frozen fields as though on solid ground. Nothing reminded them of the difference more clearly than the rifts brought on by the Thaw.,normal,129909,,,Uncommon,,Sorcery
Demolish,{3}{R},4,R,Gary Ruddell,196,Sorcery,Destroy target artifact or land.,"ODY,8ED,9ED,10E,ZEN,M11,AVR,M14,THS,ORI","""Pound the steel until it fits.\nDoesn't work? Bash to bits.""\n—Dwarven forging song",normal,129522,,,Common,,Sorcery
Dragon Roost,{4}{R}{R},6,R,Jim Pavelec,197,Enchantment,{5}{R}{R}: Put a 5/5 red Dragon creature token with flying onto the battlefield. (It can't be blocked except by creatures with flying or reach.),"ONS,10E",Dragons erupt from peaks of chaos and flow from rivers of molten rage.,normal,143024,,,Rare,,Enchantment
Duct Crawler,{R},1,R,Stephen Daniele,198,Creature — Insect,{1}{R}: Target creature can't block Duct Crawler this turn.,"STH,10E","""Boss told us to try and train 'em. Trained it to attack—it ate Flugg. Trained it to run fast—it got away. Success!""\n—Dlig, goblin spelunker",normal,129579,1,1,Common,Insect,Creature
Earth Elemental,{3}{R}{R},5,R,Anthony S. Waters,199,Creature — Elemental,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,S99,10E,DPA","Earth elementals have the eternal strength of stone and the endurance of mountains. Primordially connected to the land they inhabit, they take a long-term view of things, scorning the impetuous haste of short-lived mortal creatures.",normal,129554,4,5,Uncommon,Elemental,Creature
Firebreathing,{R},1,R,Aleksi Briclot,200,Enchantment — Aura,Enchant creature\n{R}: Enchanted creature gets +1/+0 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,MIR,5ED,6ED,9ED,10E,M10,M12","""Cradle your rage close to your heart and nurture your grudge with hatred that you may unleash upon your foes a dragon's fury.""\n—Tomor, dragonspeaker shaman",normal,129548,,,Common,Aura,Enchantment
Fists of the Anvil,{1}{R},2,R,Pete Venters,201,Instant,Target creature gets +4/+0 until end of turn.,"MRD,10E","Gron's mind reeled with possibilities, most of which are best left unmentioned.",normal,130379,,,Common,,Instant
Flamewave Invoker,{2}{R},3,R,Dave Dorman,202,Creature — Goblin Mutant,{7}{R}: Flamewave Invoker deals 5 damage to target player.,"LGN,10E,EVG,DD2,DD3_EVG,DD3_JVC",Inside even the humblest goblin lurks the potential for far greater things—and far worse.,normal,130378,2,2,Uncommon,"Goblin,Mutant",Creature
Flowstone Slide,{X}{2}{R}{R},4,R,Chippy,203,Sorcery,All creatures get +X/-X until end of turn.,"NMS,9ED,10E","""Like an avalanche. With teeth. That will chase you. Uphill.""\n—Flint Foot, viashino runner",normal,130542,,,Rare,,Sorcery
Furnace of Rath,{1}{R}{R}{R},4,R,John Matson,204,Enchantment,"If a source would deal damage to a creature or player, it deals double that damage to that creature or player instead.","TMP,8ED,9ED,10E,HOP,DPA",The furnace awaits the next master who would stoke the fires of apocalypse.,normal,129566,,,Rare,,Enchantment
Furnace Whelp,{2}{R}{R},4,R,Matt Cavotta,205,Creature — Dragon,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Furnace Whelp gets +1/+0 until end of turn.,"5DN,10E,DD2,ARC,CMD,M13,M15,DD3_JVC","Baby dragons can't figure out humans—if they didn't want to be killed, why were they made of meat and treasure?",normal,130386,2,2,Uncommon,Dragon,Creature
Goblin Elite Infantry,{1}{R},2,R,Robert Bliss,206,Creature — Goblin Warrior,"Whenever Goblin Elite Infantry blocks or becomes blocked, it gets -1/-1 until end of turn.","MIR,6ED,7ED,10E",They talk a good fight.,normal,130380,2,2,Common,"Goblin,Warrior",Creature
Goblin King,{1}{R}{R},3,R,Ron Spears,207,Creature — Goblin,Other Goblin creatures get +1/+1 and have mountainwalk. (They can't be blocked as long as defending player controls a Mountain.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ATH,6ED,7ED,8ED,9ED,10E","To be king, Numsgil did in Blog, who did in Unkful, who did in Viddle, who did in Loll, who did in Alrok. . . .",normal,129578,2,2,Rare,Goblin,Creature
Goblin Lore,{1}{R},2,R,D. Alexander Gregory,208,Sorcery,"Draw four cards, then discard three cards at random.","PO2,S99,10E","""Now listen closely, my young gob. There are many ways to eat pimple bugs, but I say the best way is all smashed together between two slug chips.""",normal,135221,,,Uncommon,,Sorcery
Goblin Piker,{1}{R},2,R,DiTerlizzi,209,Creature — Goblin Warrior,,"PO2,9ED,10E,M10,DPA,M11,M12","Once he'd worked out which end of the thing was sharp, he was promoted to guard duty.",normal,129580,2,1,Common,"Goblin,Warrior",Creature
Goblin Sky Raider,{2}{R},3,R,Daren Bader,210,Creature — Goblin Warrior,Flying (This creature can't be blocked except by creatures with flying or reach.),"ONS,9ED,10E,DPA","The goblin word for ""flying"" is more accurately translated as ""falling slowly.""",normal,129582,1,2,Common,"Goblin,Warrior",Creature
Guerrilla Tactics,{1}{R},2,R,Dave Dorman,211,Instant,"Guerrilla Tactics deals 2 damage to target creature or player.\nWhen a spell or ability an opponent controls causes you to discard Guerrilla Tactics, Guerrilla Tactics deals 4 damage to target creature or player.","ALL,DKM,8ED,9ED,10E",,normal,129588,,,Uncommon,,Instant
Hill Giant,{3}{R},4,R,Kev Walker,212,Creature — Giant,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,POR,7ED,8ED,9ED,10E,DPA","Fortunately, hill giants have large blind spots in which a human can easily hide. Unfortunately, these blind spots are beneath the bottoms of their feet.",normal,129591,3,3,Common,Giant,Creature
Incinerate,{1}{R},2,R,Zoltan Boros & Gabor Szikszai,213,Instant,Incinerate deals 3 damage to target creature or player. A creature dealt damage this way can't be regenerated this turn.,"pLGM,ICE,MIR,5ED,pMPR,DKM,CST,10E,ME2,DD2,DPA,M12,DD3_JVC","""Yes, I think ‘toast' is an appropriate description.""\n—Jaya Ballard, task mage",normal,134751,,,Common,,Instant
"Kamahl, Pit Fighter",{4}{R}{R},6,R,Kev Walker,214,Legendary Creature — Human Barbarian,"Haste (This creature can attack and {T} as soon as it comes under your control.)\n{T}: Kamahl, Pit Fighter deals 3 damage to target creature or player.","ODY,10E,p15A,DPA,DDL","In times when freedom seems lost, great souls arise to reclaim it.",normal,106398,6,1,Rare,"Human,Barbarian",Creature
Lava Axe,{4}{R},5,R,Brian Snõddy,215,Sorcery,Lava Axe deals 5 damage to target player.,"POR,PO2,ULG,S99,S00,BTD,7ED,8ED,9ED,pGTW,10E,M10,M11,M12,M14,M15","""Catch!""",normal,129620,,,Common,,Sorcery
Lavaborn Muse,{3}{R},4,R,Brian Snõddy,216,Creature — Spirit,"At the beginning of each opponent's upkeep, if that player has two or fewer cards in hand, Lavaborn Muse deals 3 damage to him or her.","LGN,10E,DDK","""Her voice is disaster, painful and final.""\n—Matoc, lavamancer",normal,130373,3,3,Rare,Spirit,Creature
Lightning Elemental,{3}{R},4,R,Kev Walker,217,Creature — Elemental,Haste (This creature can attack and {T} as soon as it comes under your control.),"TMP,BRB,7ED,8ED,9ED,10E,M10,DPA,M12","""A flash of the lightning, a break of the wave,\nHe passes from life to his rest in the grave.""\n—William Knox, ""Mortality""",normal,129624,4,1,Common,Elemental,Creature
Manabarbs,{3}{R},4,R,Jeff Miracola,218,Enchantment,"Whenever a player taps a land for mana, Manabarbs deals 1 damage to that player.","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,10E,M10,M12","""I don't know why people say a double-edged sword is bad. It's a sword. With two edges.""\n—Kamahl, pit fighter",normal,130367,,,Rare,,Enchantment
Mogg Fanatic,{R},1,R,Brom,219,Creature — Goblin,Sacrifice Mogg Fanatic: Mogg Fanatic deals 1 damage to target creature or player.,"TMP,ATH,pFNM,pGTW,10E,EVG,PD2,DD3_EVG,TPR,EMA","""I got it! I got it! I—""",normal,134748,1,1,Uncommon,Goblin,Creature
Orcish Artillery,{1}{R}{R},3,R,Jeff Miracola,220,Creature — Orc Warrior,{T}: Orcish Artillery deals 2 damage to target creature or player and 3 damage to you.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,6ED,7ED,8ED,9ED,10E","""So they want to kill my men? Well two can play at that game.""\n—General Khurzog",normal,129663,1,3,Uncommon,"Orc,Warrior",Creature
Prodigal Pyromancer,{2}{R},3,R,Jeremy Jarvis,221,Creature — Human Wizard,{T}: Prodigal Pyromancer deals 1 damage to target creature or player.,"PLC,10E,M10,DPA,M11","""What am I looking at? Ashes, dead man.""",normal,134752,1,1,Common,"Human,Wizard",Creature
Pyroclasm,{1}{R},2,R,John Avon,222,Sorcery,Pyroclasm deals 2 damage to each creature.,"ICE,POR,7ED,pMPR,DKM,8ED,9ED,10E,M10,M11,DDK,DDL","""When the air burns, only death breathes deep.""\n—Bogardan mage",normal,129801,,,Uncommon,,Sorcery
Rage Weaver,{1}{R},2,R,John Matson,223,Creature — Human Wizard,{2}: Target black or green creature gains haste until end of turn. (It can attack and {T} this turn.),"INV,10E","""Let my passion spur your victory.""",normal,130997,2,1,Uncommon,"Human,Wizard",Creature
Raging Goblin,{R},1,R,Jeff Miracola,224,Creature — Goblin Berserker,Haste (This creature can attack and {T} as soon as it comes under your control.),"POR,PO2,EXO,ATH,6ED,S99,BRB,BTD,7ED,8ED,9ED,10E,EVG,M10,DD3_EVG","He raged at the world, at his family, at his life. But mostly he just raged.",normal,129688,1,1,Common,"Goblin,Berserker",Creature
Relentless Assault,{2}{R}{R},4,R,Greg Hildebrandt,225,Sorcery,"Untap all creatures that attacked this turn. After this main phase, there is an additional combat phase followed by an additional main phase.","VIS,PO2,6ED,PTK,S99,7ED,8ED,9ED,10E,HOP","""Mercy? Mercy is for the playground, not the battleground.""",normal,129697,,,Rare,,Sorcery
Rock Badger,{4}{R},5,R,Heather Hudson,226,Creature — Badger Beast,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),"MMQ,10E","""As it charged our keep, I mistook it for a bear. After it tore through our ramparts and half the guard, I wished it had been a bear after all.""\n—Ballista guard",normal,129715,3,3,Common,"Badger,Beast",Creature
Scoria Wurm,{4}{R},5,R,Steve Firchow,227,Creature — Wurm,"At the beginning of your upkeep, flip a coin. If you lose the flip, return Scoria Wurm to its owner's hand.","USG,10E","Late at night, ululations echo from deep under Shiv, as the wurms sing of times older than humanity.",normal,130374,7,7,Rare,Wurm,Creature
Seismic Assault,{R}{R}{R},3,R,Greg Staples,228,Enchantment,Discard a land card: Seismic Assault deals 2 damage to target creature or player.,"EXO,7ED,8ED,10E",Earth arms itself with fire.,normal,129884,,,Rare,,Enchantment
Shatterstorm,{2}{R}{R},4,R,Paolo Parente,229,Sorcery,Destroy all artifacts. They can't be regenerated.,"ATQ,3ED,5ED,6ED,10E",From a marvel of magical mechanization to a smoking stack of scrap in one easy step.,normal,130370,,,Uncommon,,Sorcery
Shivan Dragon,{4}{R}{R},6,R,Donato Giancola,230,Creature — Dragon,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,BTD,7ED,pREL,8ED,9ED,10E,DRB,M10,DPA,ME4,M14,M15,ORI,W16",The undisputed master of the mountains of Shiv.,normal,129730,5,5,Rare,Dragon,Creature
Shivan Hellkite,{5}{R}{R},7,R,Kev Walker,231,Creature — Dragon,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{1}{R}: Shivan Hellkite deals 1 damage to target creature or player.,"USG,10E,DDG","A dragon's scale can be carved into a mighty shield, provided you can procure a dragontooth to cut it.",normal,130538,5,5,Rare,Dragon,Creature
Shock,{R},1,R,Jon Foster,232,Instant,Shock deals 2 damage to target creature or player.,"STH,6ED,pFNM,S00,BTD,7ED,ONS,8ED,9ED,10E,DPA,M12,M14,DDN",,normal,129732,,,Common,,Instant
Shunt,{1}{R}{R},3,R,Greg Hildebrandt,233,Instant,Change the target of target spell with a single target.,"DST,10E","Aranghil held her fury in her heart, hard and bright as a ruby. With its razor edge, she rewrote the laws of battle.",normal,130362,,,Rare,,Instant
Siege-Gang Commander,{3}{R}{R},5,R,Christopher Moeller,234,Creature — Goblin,"When Siege-Gang Commander enters the battlefield, put three 1/1 red Goblin creature tokens onto the battlefield.\n{1}{R}, Sacrifice a Goblin: Siege-Gang Commander deals 2 damage to target creature or player.","SCG,10E,EVG,M10,DD3_EVG,EMA",,normal,130539,2,2,Rare,Goblin,Creature
Smash,{2}{R},3,R,Paolo Parente,235,Instant,Destroy target artifact.\nDraw a card.,"APC,RAV,10E","Ravnica's laws protect not its citizens but its industry. Aging equipment is destroyed rather than restored, to bring more money into the factories' coffers.",normal,130532,,,Common,,Instant
Soulblast,{3}{R}{R}{R},6,R,Jim Nelson,236,Instant,"As an additional cost to cast Soulblast, sacrifice all creatures you control.\nSoulblast deals damage to target creature or player equal to the total power of the sacrificed creatures.","CHK,10E",,normal,130369,,,Rare,,Instant
Spark Elemental,{R},1,R,John Avon,237,Creature — Elemental,"Trample, haste (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker. This creature can attack and {T} as soon as it comes under your control.)\nAt the beginning of the end step, sacrifice Spark Elemental.","5DN,10E,PD2","Vulshok shamans could never keep them alive for more than a few seconds, yet those few seconds seemed to be enough.",normal,129577,3,1,Uncommon,Elemental,Creature
Spitting Earth,{1}{R},2,R,Michael Koelsch,238,Sorcery,Spitting Earth deals damage to target creature equal to the number of Mountains you control.,"MIR,POR,PO2,6ED,S99,7ED,10E,EVG,DDG,DD3_EVG","""Within each of you is the strength of a landslide.""\n—Kumano, to his pupils",normal,136509,,,Common,,Sorcery
"Squee, Goblin Nabob",{2}{R},3,R,Greg Staples,239,Legendary Creature — Goblin,"At the beginning of your upkeep, you may return Squee, Goblin Nabob from your graveyard to your hand.","MMQ,10E,MMA","""Some goblins are expendable. Some are impossible to get rid of. But he's both—at the same time!""\n—Starke",normal,106473,1,1,Rare,Goblin,Creature
Stun,{1}{R},2,R,Terese Nielsen,240,Instant,Target creature can't block this turn.\nDraw a card.,"TMP,INV,10E,TPR","""Fortunately, merfolk aren't used to opponents with feet.""\n—Gerrard of the Weatherlight",normal,134755,,,Common,,Instant
Sudden Impact,{3}{R},4,R,Wayne Reynolds,241,Instant,Sudden Impact deals damage to target player equal to the number of cards in that player's hand.,"TMP,7ED,8ED,9ED,10E,PD2","""Some say it's better to think before you act. While those people are considering all the options, that's usually when I kill them.""\n—Dravus, lava mage",normal,129750,,,Uncommon,,Instant
Threaten,{2}{R},3,R,Pete Venters,242,Sorcery,Untap target creature and gain control of it until end of turn. That creature gains haste until end of turn. (It can attack and {T} this turn.),"ONS,9ED,10E","Goblins' motivational techniques are crude, but effective.",normal,129767,,,Uncommon,,Sorcery
Thundering Giant,{3}{R}{R},5,R,Mark Zug,243,Creature — Giant,Haste (This creature can attack and {T} as soon as it comes under your control.),"USG,BTD,10E,MMA,M15",The giant was felt a few seconds before he was seen.,normal,130381,4,3,Uncommon,Giant,Creature
Uncontrollable Anger,{2}{R}{R},4,R,Kev Walker,244,Enchantment — Aura,Flash (You may cast this spell any time you could cast an instant.)\nEnchant creature\nEnchanted creature gets +2/+2 and attacks each turn if able.,"CHK,10E,CNS","A barbarian's heart pounds with the fury of a prisoner, threatening at any moment to break the bars of its cage.",normal,134756,,,Common,Aura,Enchantment
Viashino Runner,{3}{R},4,R,Steve White,245,Creature — Viashino,Menace (This creature can't be blocked except by two or more creatures.),"USG,10E","""It moved this way, an' that way, an' then before I could stick it, it jumped over my head an' was gone.""\n—Jula, goblin raider",normal,130531,3,2,Common,Viashino,Creature
Viashino Sandscout,{1}{R},2,R,Scott M. Fischer,246,Creature — Viashino Scout,"Haste (This creature can attack and {T} as soon as it comes under your control.)\nAt the beginning of the end step, return Viashino Sandscout to its owner's hand. (Return it only if it's on the battlefield.)","ULG,10E",A viashino's overlapping scales form a buffer against Shiv's ash-flecked winds and a slippery target for goblin pikes.,normal,130387,2,1,Common,"Viashino,Scout",Creature
Wall of Fire,{1}{R}{R},3,R,Dan Dos Santos,247,Creature — Wall,Defender (This creature can't attack.)\n{R}: Wall of Fire gets +1/+0 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,7ED,10E,M10,M13,M15",The erupting flames work as both barrier and weapon.,normal,136284,0,5,Uncommon,Wall,Creature
Warp World,{5}{R}{R}{R},8,R,Ron Spencer,248,Sorcery,"Each player shuffles all permanents he or she owns into his or her library, then reveals that many cards from the top of his or her library. Each player puts all artifact, creature, and land cards revealed this way onto the battlefield, then does the same for enchantment cards, then puts all cards revealed this way that weren't put onto the battlefield on the bottom of his or her library.","RAV,10E,M10",,normal,130364,,,Rare,,Sorcery
Abundance,{2}{G}{G},4,G,Rebecca Guay,249,Enchantment,"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.","USG,10E",,normal,130483,,,Rare,,Enchantment
Aggressive Urge,{1}{G},2,G,Christopher Moeller,250,Instant,Target creature gets +1/+1 until end of turn.\nDraw a card.,"INV,10E","The power of the wild, concentrated in a single charge.",normal,130525,,,Common,,Instant
Avatar of Might,{6}{G}{G},8,G,rk post,251,Creature — Avatar,"If an opponent controls at least four more creatures than you, Avatar of Might costs {6} less to cast.\nTrample (This creature can deal excess combat damage to defending player or planeswalker while attacking.)","PCY,10E","In their most desperate hour, the elves of Llanowar had one song left to sing.",normal,135249,8,8,Rare,Avatar,Creature
Birds of Paradise,{G},1,G,Marcelo Vignali,252,Creature — Bird,Flying\n{T}: Add one mana of any color to your mana pool.,"LEA,LEB,2ED,CED,CEI,3ED,pMEI,4ED,5ED,6ED,7ED,8ED,RAV,10E,M10,M11,M12",,normal,129906,0,1,Rare,Bird,Creature
Blanchwood Armor,{2}{G},3,G,Paolo Parente,253,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature gets +1/+1 for each Forest you control.,"USG,7ED,8ED,9ED,10E,DPA","""Before armor, there was bark. Before blades, there were thorns.""\n—Molimo, maro-sorcerer",normal,135267,,,Uncommon,Aura,Enchantment
Canopy Spider,{1}{G},2,G,Christopher Rush,254,Creature — Spider,Reach (This creature can block creatures with flying.),"TMP,ATH,7ED,8ED,10E,TPR",It keeps the upper reaches of the forest free of every menace . . . except for the spider itself.,normal,135185,1,3,Common,Spider,Creature
Civic Wayfinder,{2}{G},3,G,Cyril Van Der Haegen,255,Creature — Elf Warrior Druid,"When Civic Wayfinder enters the battlefield, you may search your library for a basic land card, reveal it, and put it into your hand. If you do, shuffle your library.","RAV,10E,DPA,EMA","""These alleys are not safe. Come, I can guide you back to the market square.""",normal,130522,2,2,Common,"Elf,Warrior,Druid",Creature
Commune with Nature,{G},1,G,Lars Grant-West,256,Sorcery,Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.,"CHK,10E,MM2",,normal,130521,,,Common,,Sorcery
Craw Wurm,{4}{G}{G},6,G,Richard Sardinha,257,Creature — Wurm,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,8ED,9ED,10E,M10",The most terrifying thing about the craw wurm is probably the horrible crashing sound it makes as it speeds through the forest. This noise is so loud it echoes through the trees and seems to come from all directions at once.,normal,130527,6,4,Common,Wurm,Creature
Creeping Mold,{2}{G}{G},4,G,Gary Ruddell,258,Sorcery,"Destroy target artifact, enchantment, or land.","pARL,VIS,6ED,7ED,8ED,MRD,9ED,10E",Mold crept over the walls and into every crevice until the gleaming white stone strained and burst.,normal,129512,,,Uncommon,,Sorcery
Elven Riders,{3}{G}{G},5,G,Darrell Riche,259,Creature — Elf,Elven Riders can't be blocked except by Walls and/or creatures with flying.,"LEG,4ED,RQS,ITP,5ED,6ED,ONS,10E,DPA","""Wirewood cannot hide great size. Only with speed and skill can we survive here.""",normal,135266,3,3,Uncommon,Elf,Creature
Elvish Berserker,{G},1,G,Paolo Parente,260,Creature — Elf Berserker,"Whenever Elvish Berserker becomes blocked, it gets +1/+1 until end of turn for each creature blocking it.","EXO,9ED,10E",Their fury scatters enemies like a pile of dry leaves.,normal,129533,1,1,Common,"Elf,Berserker",Creature
Elvish Champion,{1}{G}{G},3,G,D. Alexander Gregory,261,Creature — Elf,Other Elf creatures get +1/+1 and have forestwalk. (They can't be blocked as long as defending player controls a Forest.),"pSUS,INV,7ED,8ED,9ED,10E,DPA","""For what are leaves but countless blades\nTo fight a countless foe on high.""\n—Elvish hymn",normal,129534,2,2,Rare,Elf,Creature
Elvish Piper,{3}{G},4,G,Rebecca Guay,262,Creature — Elf Shaman,"{G}, {T}: You may put a creature card from your hand onto the battlefield.","UDS,7ED,8ED,9ED,10E,M10","From Gaea grew the world, and the world was silent. From Gaea grew the world's elves, and the world was silent no more.\n—Elvish teaching",normal,129535,1,1,Rare,"Elf,Shaman",Creature
Enormous Baloth,{6}{G},7,G,Mark Tedin,263,Creature — Beast,,"LGN,8ED,9ED,10E,M10","Its diet consists of fruits, plants, small woodland animals, large woodland animals, woodlands, fruit groves, fruit farmers, and small cities.",normal,135263,7,7,Uncommon,Beast,Creature
Femeref Archers,{2}{G},3,G,Zoltan Boros & Gabor Szikszai,264,Creature — Human Archer,{T}: Femeref Archers deals 4 damage to target attacking creature with flying.,"MIR,6ED,7ED,10E","""Bet you can't put it through the eye.""\n""Left or right?""",normal,135186,2,2,Uncommon,"Human,Archer",Creature
Gaea's Herald,{1}{G},2,G,Jim Murray,265,Creature — Elf,Creature spells can't be countered.,"PLS,8ED,10E,DPA","""Gaea sings with the voice of nature rampant: a thousand howls, chitters, and cries, and none of them can be ignored.""",normal,129789,1,1,Rare,Elf,Creature
Giant Growth,{G},1,G,Matt Cavotta,266,Instant,Target creature gets +3/+3 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,ATH,6ED,BRB,pSUS,pFNM,S00,BTD,7ED,pMPR,DKM,8ED,9ED,10E,EVG,ME2,M10,ME3,DDD,DPA,M11,ME4,RTR,M14,DD3_EVG,DD3_GVL",,normal,129568,,,Common,,Instant
Giant Spider,{3}{G},4,G,Randy Gallegos,267,Creature — Spider,Reach (This creature can block creatures with flying.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,ATH,6ED,7ED,8ED,9ED,10E,M10,DPA,M11,M12,M14","""When I trained under Multani, he bade me sit for hours watching Yavimaya's spiders. From them I learned stealth, patience, and the best way to snare a wind drake.""\n—Mirri of the Weatherlight",normal,129570,2,4,Common,Spider,Creature
Grizzly Bears,{1}{G},2,G,D. J. Cleland-Hura,268,Creature — Bear,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,POR,6ED,S99,7ED,8ED,9ED,10E","""We cannot forget that among all of Dominaria's wonders, a system of life exists, with prey and predators that will never fight wars nor vie for ancient power.""\n—Jolrael, empress of beasts",normal,129586,2,2,Common,Bear,Creature
Hunted Wumpus,{3}{G},4,G,Thomas M. Baxa,269,Creature — Beast,"When Hunted Wumpus enters the battlefield, each other player may put a creature card from his or her hand onto the battlefield.","MMQ,8ED,9ED,10E",Just one can feed a dozen people for a month.,normal,129599,6,6,Uncommon,Beast,Creature
Hurricane,{X}{G},1,G,John Howe,270,Sorcery,Hurricane deals X damage to each creature with flying and each player.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,POR,PO2,ATH,6ED,BRB,7ED,DKM,10E","""Don't envy the grandeur of drakes. Their impression of grace fades when the first gust sends them crashing into one another.""\n—Molimo, maro-sorcerer",normal,129885,,,Rare,,Sorcery
Joiner Adept,{1}{G},2,G,Heather Hudson,271,Creature — Elf Druid,"Lands you control have ""{T}: Add one mana of any color to your mana pool.""","5DN,10E",A talented apprentice makes all things. The master makes all things possible.,normal,130500,2,1,Rare,"Elf,Druid",Creature
Karplusan Strider,{3}{G},4,G,Dan Scott,272,Creature — Yeti,Karplusan Strider can't be the target of blue or black spells.,"CSP,10E,MM2","The strider's long, loping gait is an adaptation that allows it to move quickly in deep snow.",normal,129911,3,4,Uncommon,Yeti,Creature
Kavu Climber,{3}{G}{G},5,G,Rob Alexander,273,Creature — Kavu,"When Kavu Climber enters the battlefield, draw a card.","INV,9ED,10E","""There was a crack of branches, a rustle of leaves, then a tremendous roar. Our party had no chance as death descended from above.""\n—Taseen, elvish bard",normal,129511,3,3,Common,Kavu,Creature
Llanowar Elves,{G},1,G,Kev Walker,274,Creature — Elf Druid,{T}: Add {G} to your mana pool.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ATH,6ED,BRB,pFNM,S00,BTD,7ED,9ED,pGTW,10E,EVG,M10,M11,M12,C14,DD3_EVG,EMA",One bone broken for every twig snapped underfoot.\n—Llanowar penalty for trespassing,normal,129626,1,1,Common,"Elf,Druid",Creature
Llanowar Sentinel,{2}{G},3,G,Randy Gallegos,275,Creature — Elf,"When Llanowar Sentinel enters the battlefield, you may pay {1}{G}. If you do, search your library for a card named Llanowar Sentinel and put that card onto the battlefield. Then shuffle your library.","WTH,10E","""The forest has as many eyes as leaves.""\n—Mirri of the Weatherlight",normal,129536,2,3,Common,Elf,Creature
